1:Hydrocarbons	2:Fatty_esters	3:Oxygenated_hydrocarbons	4:Fatty_acyl_glycosides	5:Other	6:Fatty_amides	7:Fatty_alcohols	8:Octadecanoids	9:Fatty_aldehydes	10:Docosanoids	11:Eicosanoids	12:Fatty_Acids_and_Conjugates
626	0	0	0	0	0	0	0	1	0	0	0
0	944	66	5	11	65	13	10	14	11	5	315
0	17	146	0	0	0	36	0	44	0	0	14
0	0	0	63	1	0	0	1	0	0	1	0
0	2	0	2	12	5	0	3	0	0	0	0
0	5	0	2	1	233	1	1	0	0	6	4
0	20	67	5	2	0	200	6	65	0	5	21
0	0	0	2	5	0	1	264	1	0	1	8
0	3	53	0	0	0	35	1	138	0	0	8
0	1	0	0	0	0	0	0	0	59	0	1
0	2	0	11	4	16	5	8	1	7	596	4
0	480	76	9	8	36	53	59	49	51	34	1103
