1:Glycerophosphates	2:Glycerophosphoinositolglycans	3:Glycerophosphoethanolamines	4:Glycerophosphoglycerophosphoglycerols	5:Glycerophosphoglycerols	6:CDP-Glycerols	7:Other	8:Glycerophosphoinositols	9:Oxidized_glycerophospholipids	10:Glycerophosphoserines	11:Glycerophosphocholines
1065	0	0	0	0	0	21	0	0	0	0
0	300	0	0	0	1	0	0	0	0	0
0	0	667	0	0	0	5	0	49	4	447
0	0	0	1182	0	0	1	0	1	0	0
11	0	0	0	1066	0	1	1	0	0	0
0	0	0	0	0	31	0	0	0	0	0
1	0	1	0	0	0	25	4	0	2	0
0	0	0	0	0	0	13	1076	0	0	0
0	0	0	0	0	0	0	0	20	5	0
0	0	2	0	0	0	5	0	26	1045	2
0	0	582	0	0	0	0	0	33	5	1030
