1:Hydrocarbons	2:Fatty_esters	3:Oxygenated_hydrocarbons	4:Fatty_acyl_glycosides	5:Other	6:Fatty_amides	7:Fatty_alcohols	8:Octadecanoids	9:Fatty_aldehydes	10:Docosanoids	11:Eicosanoids	12:Fatty_Acids_and_Conjugates
626	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0
0	0	0	0	0	0	2	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	79	0	0	0	1	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	447	0
0	0	0	0	0	0	1	0	0	0	10	0
