1:Glycerophosphates	2:Glycerophosphoinositolglycans	3:Glycerophosphoethanolamines	4:Glycerophosphoglycerophosphoglycerols	5:Glycerophosphoglycerols	6:CDP-Glycerols	7:Other	8:Glycerophosphoinositols	9:Oxidized_glycerophospholipids	10:Glycerophosphoserines	11:Glycerophosphocholines
1030	0	0	0	0	0	0	0	0	0	0
0	300	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0
0	0	0	1182	0	0	0	0	0	0	0
4	0	0	0	1066	0	0	0	0	0	0
0	0	0	0	0	31	0	0	0	0	0
0	0	0	0	0	0	1	3	0	1	0
0	0	0	0	0	0	0	1066	0	0	0
0	0	0	0	0	0	0	0	0	3	0
0	0	0	0	0	0	0	0	0	1023	0
0	0	0	0	0	0	0	0	0	2	1
